3038843,Sol√  Vell,Sola Vell,,42.46645,1.47647,T,SLP,AD,,6,,,,0,,1602,Europe/Andorra,08-04-15
3038844,Port Vell,Port Vell,,42.65315,1.55207,T,PASS,AD,,0,,,,0,,2432,Europe/Andorra,05-11-14
3038845,Port Negre del Pallars,Port Negre del Pallars,"Port Negre del Pallars,Port Vell",42.56799,1.44412,T,PASS,AD,ES,0,,,,0,,2517,Europe/Andorra,05-11-14
3038846,Bancal Vedeller,Bancal Vedeller,,42.60103,1.45896,R,TRL,AD,,4,,,,0,,2451,Europe/Andorra,05-11-14
3038847,Vedat del Xeig,Vedat del Xeig,,42.56223,1.48785,L,LCTY,AD,,4,,,,0,,1609,Europe/Andorra,06-05-15
3038848,Vedat dels Plans,Vedat dels Plans,,42.53983,1.50408,L,AREA,AD,,4,,,,0,,1639,Europe/Andorra,05-11-14
3038849,Vedat de Coll de les Cases,Vedat de Coll de les Cases,,42.57491,1.49849,L,LCTY,AD,,4,,,,0,,1871,Europe/Andorra,05-11-14
3038850,Serra del Vedat,Serra del Vedat,,42.46836,1.48497,T,RDGE,AD,,6,,,,0,,1366,Europe/Andorra,08-04-15
3038851,Planades del Vedat,Planades del Vedat,,42.53939,1.50116,T,UPLD,AD,,4,,,,0,,1732,Europe/Andorra,06-02-15
3038852,Veda de Sorteny,Veda de Sorteny,,42.62075,1.55042,L,LCTY,AD,,5,,,,0,,1916,Europe/Andorra,05-11-14
3038853,Veda del Castellar,Veda del Castellar,,42.62578,1.50914,L,AREA,AD,,5,,,,0,,2216,Europe/Andorra,05-11-14
3038854,Canal de les Veces,Canal de les Veces,,42.52405,1.52124,H,STM,AD,,4,,,,0,,1129,Europe/Andorra,06-05-15
3038855,Coma de Varilles,Coma de Varilles,,42.63797,1.52599,T,VAL,AD,,5,,,,0,,2288,Europe/Andorra,05-11-14
3038856,Portella de les Vaques,Portella de les Vaques,,42.56734,1.44421,T,PASS,AD,,0,,,,0,,2544,Europe/Andorra,05-11-14
3038857,Pas de les Vaques,Pas de les Vaques,,42.58129,1.70146,T,PASS,AD,,2,,,,0,,2498,Europe/Andorra,03-12-14
3038858,Collada de les Vaques,Collada de les Vaques,,42.56354,1.56884,T,PASS,AD,,0,,,,0,,2096,Europe/Andorra,03-12-14
3038859,Roc del Vaquer,Roc del Vaquer,,42.63442,1.47968,T,CLF,AD,,5,,,,0,,2389,Europe/Andorra,05-11-14
3038860,Valls de la Coma,Valls de la Coma,,42.60079,1.63691,L,LCTY,AD,,2,,,,0,,1917,Europe/Andorra,03-12-14
3038861,Vall d'Incles,Vall d'Incles,,42.58386,1.66331,L,LCTY,AD,,2,,,,0,,1764,Europe/Andorra,11-01-10
3038862,Vall de Soldeu,Vall de Soldeu,,42.56103,1.68234,T,VAL,AD,,2,,,,0,,1943,Europe/Andorra,08-03-15
3038863,Riu de la Vall del Riu,Riu de la Vall del Riu,,42.57178,1.61415,H,STM,AD,,2,,,,0,,1569,Europe/Andorra,05-11-14
3038864,Estany Gran de la Vall del Riu,Estany Gran de la Vall del Riu,,42.60065,1.59278,H,LK,AD,,2,,,,0,,2559,Europe/Andorra,05-11-14
3038865,Cascada de la Vall del Riu,Cascada de la Vall del Riu,,42.57326,1.61423,H,FLLS,AD,,2,,,,0,,1617,Europe/Andorra,03-12-14
3038866,Canals de la Vall del Riu,Canals de la Vall del Riu,,42.59059,1.60713,H,RVN,AD,,2,,,,0,,2134,Europe/Andorra,03-12-14
3038867,Cam√≠ de la Vall del Riu,Cami de la Vall del Riu,,42.58421,1.61129,R,TRL,AD,,2,,,,0,,1890,Europe/Andorra,03-12-14
3038868,Bosc de la Vall del Riu,Bosc de la Vall del Riu,,42.58333,1.61667,V,FRST,AD,,2,,,,0,,2076,Europe/Andorra,03-12-14
3038869,Vall del Riu,Vall del Riu,,42.59499,1.60747,L,AREA,AD,,2,,,,0,,2197,Europe/Andorra,05-11-14
3038870,Coll de Vall Civera,Coll de Vall Civera,"Coll de Valcibera,Coll de Vall Civera,Collado de Vall-Civera,Port de Vall Civera",42.48818,1.66373,T,PASS,AD,ES,0,,,,0,,2482,Europe/Andorra,05-11-14
3038871,Obac de la Vall,Obac de la Vall,,42.46602,1.50498,T,SLP,AD,,6,,,,0,,1254,Europe/Andorra,08-04-15
3038872,Riu Valira d‚ÄôOrient,Riu Valira d'Orient,"Rio Balira del Orien,Riu Valira d'Orient,Riu Valira d‚ÄôOrient,R√≠o Balira del Orien",42.51123,1.53686,H,STM,AD,,0,,,,0,,1033,Europe/Andorra,05-11-14
3038873,Riu Valira del Nord,Riu Valira del Nord,"Riu Valira d'Ordino,Riu Valira del Nord,Riu Valira del Nort,Riu Valira d‚ÄôOrdino,Valira del Nord,Valira del Norte",42.34645,1.44271,H,STM,AD,,0,,,,0,,661,Europe/Andorra,18-01-12
3038874,Estanys de la Val del Riu,Estanys de la Val del Riu,,42.60398,1.59622,H,LKS,AD,,2,,,,0,,2567,Europe/Andorra,05-11-14
3038875,Vaca Morta,Vaca Morta,,42.5681,1.76256,L,LCTY,AD,,2,,,,0,,1858,Europe/Andorra,05-11-14
3038876,Riu d‚ÄôUrina,Riu d'Urina,,42.5594,1.58998,H,STM,AD,,2,,,,0,,1450,Europe/Andorra,03-12-14
3038877,Serrat de la U√Øna,Serrat de la Uina,,42.55975,1.52393,T,RDGE,AD,,5,,,,0,,1516,Europe/Andorra,06-02-15
3038878,Obaga de la Tuta,Obaga de la Tuta,,42.48885,1.44734,T,SLP,AD,,6,,,,0,,1387,Europe/Andorra,08-03-15
3038879,Cova de la Tuta,Cova de la Tuta,,42.48678,1.44548,S,CAVE,AD,,6,,,,0,,1567,Europe/Andorra,08-03-15
3038880,Roca del Tut,Roca del Tut,,42.54941,1.45701,T,RK,AD,,4,,,,0,,2010,Europe/Andorra,06-02-15
3038881,Coll de Turer,Coll de Turer,,42.55784,1.46979,T,PASS,AD,,4,,,,0,,2115,Europe/Andorra,05-11-14
3038882,Font del Tud√≥,Font del Tudo,,42.44205,1.53489,H,SPNG,AD,,6,,,,0,,1897,Europe/Andorra,08-04-15
3038883,Estany de les Truites,Estany de les Truites,,42.57705,1.44801,H,LK,AD,,4,,,,0,,2289,Europe/Andorra,05-11-14
3038884,Serra de Tristaina,Serra de Tristaina,Serra de Tristaina,42.65048,1.47705,T,RDGE,AD,"AD,FR",0,,,,0,,2694,Europe/Andorra,05-11-14
3038885,Riu de Tristaina,Riu de Tristaina,,42.615,1.53707,H,STM,AD,,5,,,,0,,1536,Europe/Andorra,05-11-14
3038886,Pic de Tristaina,Pic de Tristaina,"Pic de Triatagne,Pic de Tristagne,Pic de Tristaina,Pic des Tri-Stagnes,Tristaina",42.65265,1.49242,T,PK,AD,"AD,FR",0,,,,0,,2813,Europe/Andorra,29-04-07
3038887,Clot de Tres Torrents,Clot de Tres Torrents,,42.54063,1.53382,H,RVN,AD,,4,,,,0,,1466,Europe/Andorra,06-02-15
3038890,Travenc,Travenc,,42.60215,1.69377,L,LCTY,AD,,2,,,,0,,1911,Europe/Andorra,03-12-14
3038891,Pleta de la Trava,Pleta de la Trava,,42.48464,1.62251,L,GRAZ,AD,,8,,,,0,,2139,Europe/Andorra,06-05-15
3038892,Coll de la Trava,Coll de la Trava,,42.47973,1.47555,T,SPUR,AD,,6,,,,0,,1289,Europe/Andorra,08-03-15
3038893,Canal de la Trava,Canal de la Trava,,42.57395,1.52496,H,RVN,AD,,5,,,,0,,1521,Europe/Andorra,03-12-14
3038894,Bosc de la Trava,Bosc de la Trava,,42.4844,1.63007,V,FRST,AD,,8,,,,0,,2221,Europe/Andorra,06-05-15
3038895,Font dels Traginers,Font dels Traginers,,42.43156,1.52845,H,SPNG,AD,"AD,ES",0,,,,0,,2022,Europe/Andorra,08-04-15
3038896,Pla de les Toves,Pla de les Toves,,42.46355,1.45008,T,UPLD,AD,,6,,,,0,,1774,Europe/Andorra,08-04-15
3038897,Torrent del Tossalroi,Torrent del Tossalroi,,42.47256,1.51244,H,STM,AD,,6,,,,0,,1345,Europe/Andorra,06-05-15
3038898,Tossal Gran,Tossal Gran,,42.47986,1.4892,L,LCTY,AD,,7,,,,0,,941,Europe/Andorra,06-05-15
3038899,Tossalet i Vinyals,Tossalet i Vinyals,,42.48597,1.49025,L,LCTY,AD,,7,,,,0,,998,Europe/Andorra,08-03-15
3038900,Bosc del Tossal de les Poselles,Bosc del Tossal de les Poselles,,42.53331,1.50326,V,FRST,AD,,4,,,,0,,1509,Europe/Andorra,06-02-15
3038901,Tossal,Tossal,,42.45927,1.49176,L,LCTY,AD,,6,,,,0,,1050,Europe/Andorra,08-04-15
3038902,Tosquers,Tosquers,,42.56587,1.48763,T,SLP,AD,,4,,,,0,,1514,Europe/Andorra,05-11-14
3038903,Canal del Tosquer,Canal del Tosquer,,42.57114,1.52067,H,STM,AD,,5,,,,0,,1327,Europe/Andorra,03-12-14
3038904,Bosc del Tosquer,Bosc del Tosquer,,42.57189,1.52369,V,FRST,AD,,5,,,,0,,1416,Europe/Andorra,03-12-14
3038905,Bosc del Tosquer,Bosc del Tosquer,,42.53793,1.6007,V,FRST,AD,,3,,,,0,,1806,Europe/Andorra,06-02-15
3038906,Bosc de la Tosca,Bosc de la Tosca,,42.43912,1.45592,V,FRST,AD,,6,,,,0,,1428,Europe/Andorra,08-04-15
3038907,Tosa d‚ÄôIncles,Tosa d'Incles,,42.58675,1.68935,L,AREA,AD,,2,,,,0,,2363,Europe/Andorra,03-12-14
3038908,Cap de Tosa d‚ÄôEntor,Cap de Tosa d'Entor,,42.60016,1.65212,T,PK,AD,,2,,,,0,,2486,Europe/Andorra,03-12-14
3038909,Tosa de les Mussoles,Tosa de les Mussoles,,42.62199,1.68087,L,LCTY,AD,,2,,,,0,,2538,Europe/Andorra,05-11-14
3038910,Pic de la Tosa de Juclar,Pic de la Tosa de Juclar,,42.60199,1.72093,T,PK,AD,,2,,,,0,,2660,Europe/Andorra,03-12-14
3038911,Collada de la Tosa de Caraup,Collada de la Tosa de Caraup,,42.60371,1.6548,T,SPUR,AD,,2,,,,0,,2494,Europe/Andorra,03-12-14
3038912,Planell de la Tosa,Planell de la Tosa,,42.52916,1.45614,T,UPLD,AD,,4,,,,0,,2302,Europe/Andorra,06-02-15
